freq (Hz)	real	complex
0.000000E+0	4.825818E+3	0.000000E+0
2.500000E-1	4.021742E+3	-1.818429E+3
5.000000E-1	2.439748E+3	-2.378573E+3
7.500000E-1	1.392675E+3	-1.942221E+3
1.000000E+0	1.012225E+3	-1.554462E+3
1.250000E+0	5.822219E+2	-1.437639E+3
1.500000E+0	-3.021234E+1	-1.049457E+3
1.750000E+0	-2.907897E+2	-3.269259E+2
2.000000E+0	-1.030235E+2	1.648241E+2
2.250000E+0	-5.073756E+0	2.468493E+2
2.500000E+0	-2.286613E+2	3.800755E+2
2.750000E+0	-3.867135E+2	8.041470E+2
3.000000E+0	-2.450459E+2	1.180251E+3
3.250000E+0	-1.039536E+2	1.273343E+3
3.500000E+0	-1.970330E+2	1.341163E+3
3.750000E+0	-3.057852E+2	1.603009E+3
4.000000E+0	-2.318700E+2	1.864854E+3
4.250000E+0	-1.577144E+2	1.943307E+3
4.500000E+0	-2.611343E+2	2.011613E+3
4.750000E+0	-3.814945E+2	2.245869E+3
5.000000E+0	-3.452810E+2	2.500234E+3
5.250000E+0	-2.834730E+2	2.605073E+3
5.500000E+0	-3.607796E+2	2.676471E+3
5.750000E+0	-4.757633E+2	2.872131E+3
6.000000E+0	-4.799734E+2	3.103211E+3
6.250000E+0	-4.527321E+2	3.230720E+3
6.500000E+0	-5.253781E+2	3.325698E+3
6.750000E+0	-6.371808E+2	3.512454E+3
7.000000E+0	-6.749737E+2	3.743191E+3
7.250000E+0	-6.762085E+2	3.924251E+3
7.500000E+0	-7.092581E+2	4.094275E+3
7.750000E+0	-7.186909E+2	4.302232E+3
8.000000E+0	-6.564547E+2	4.469473E+3
8.250000E+0	-6.120475E+2	4.531156E+3
8.500000E+0	-6.658515E+2	4.564289E+3
8.750000E+0	-7.649207E+2	4.641654E+3
9.000000E+0	-8.688405E+2	4.718320E+3
9.250000E+0	-1.048198E+3	4.786491E+3
9.500000E+0	-1.307938E+3	4.964716E+3
