freq (Hz)	real	complex
0.000000E+0	4.088594E+3	0.000000E+0
2.500000E-1	3.458881E+3	-1.518341E+3
5.000000E-1	2.049516E+3	-2.127701E+3
7.500000E-1	8.098677E+2	-1.728498E+3
1.000000E+0	2.446003E+2	-9.647166E+2
1.250000E+0	1.019021E+2	-4.243975E+2
1.500000E+0	-6.984851E+1	-1.017964E+2
1.750000E+0	-3.221043E+2	2.960674E+2
2.000000E+0	-4.347094E+2	7.910964E+2
2.250000E+0	-4.041515E+2	1.170070E+3
2.500000E+0	-4.443471E+2	1.420466E+3
2.750000E+0	-5.761827E+2	1.746639E+3
3.000000E+0	-5.983002E+2	2.166576E+3
3.250000E+0	-4.920489E+2	2.466895E+3
3.500000E+0	-4.857421E+2	2.614020E+3
3.750000E+0	-6.353689E+2	2.842207E+3
4.000000E+0	-7.078057E+2	3.227462E+3
4.250000E+0	-6.094212E+2	3.538334E+3
4.500000E+0	-5.689446E+2	3.661308E+3
4.750000E+0	-7.211721E+2	3.816350E+3
5.000000E+0	-8.616517E+2	4.155101E+3
5.250000E+0	-8.297808E+2	4.490525E+3
5.500000E+0	-7.982015E+2	4.659208E+3
5.750000E+0	-9.307824E+2	4.823958E+3
6.000000E+0	-1.071081E+3	5.149607E+3
6.250000E+0	-1.051688E+3	5.484839E+3
6.500000E+0	-1.018084E+3	5.659175E+3
6.750000E+0	-1.141945E+3	5.812104E+3
7.000000E+0	-1.286618E+3	6.114668E+3
7.250000E+0	-1.279124E+3	6.428264E+3
7.500000E+0	-1.260665E+3	6.570934E+3
7.750000E+0	-1.427725E+3	6.680325E+3
8.000000E+0	-1.654756E+3	6.966637E+3
8.250000E+0	-1.723083E+3	7.322137E+3
8.500000E+0	-1.718998E+3	7.525695E+3
8.750000E+0	-1.856999E+3	7.638442E+3
9.000000E+0	-2.099570E+3	7.852212E+3
9.250000E+0	-2.294279E+3	8.136732E+3
9.500000E+0	-2.494015E+3	8.380346E+3
9.750000E+0	-2.792595E+3	8.683952E+3
1.000000E+1	-3.039679E+3	9.159123E+3
1.025000E+1	-3.081458E+3	9.629705E+3
1.050000E+1	-3.090056E+3	9.900291E+3
1.075000E+1	-3.284013E+3	1.012357E+4
1.100000E+1	-3.526267E+3	1.052393E+4
1.125000E+1	-3.590436E+3	1.096860E+4
1.150000E+1	-3.609971E+3	1.122297E+4
1.175000E+1	-3.832419E+3	1.141697E+4
1.200000E+1	-4.136760E+3	1.180810E+4
1.225000E+1	-4.261731E+3	1.228324E+4
1.250000E+1	-4.318759E+3	1.257919E+4
1.275000E+1	-4.577204E+3	1.281080E+4
1.300000E+1	-4.917782E+3	1.326032E+4
1.325000E+1	-5.038362E+3	1.380663E+4
1.350000E+1	-5.054653E+3	1.412072E+4
1.375000E+1	-5.325330E+3	1.429913E+4
1.400000E+1	-5.789247E+3	1.472180E+4
1.425000E+1	-6.065123E+3	1.537084E+4
1.450000E+1	-6.135629E+3	1.588510E+4
1.475000E+1	-6.330989E+3	1.623218E+4
1.500000E+1	-6.677066E+3	1.671618E+4
1.525000E+1	-6.878552E+3	1.734350E+4
1.550000E+1	-6.946203E+3	1.780573E+4
1.575000E+1	-7.215750E+3	1.811253E+4
1.600000E+1	-7.702637E+3	1.862236E+4
1.625000E+1	-8.047398E+3	1.938786E+4
1.650000E+1	-8.168580E+3	2.007042E+4
1.675000E+1	-8.377466E+3	2.057794E+4
1.700000E+1	-8.765810E+3	2.120042E+4
1.725000E+1	-9.060648E+3	2.202821E+4
1.750000E+1	-9.174740E+3	2.280831E+4
1.775000E+1	-9.338387E+3	2.346487E+4
1.800000E+1	-9.605918E+3	2.420835E+4
1.825000E+1	-9.780976E+3	2.506266E+4
1.850000E+1	-9.880592E+3	2.583619E+4
1.875000E+1	-1.011221E+4	2.659513E+4
1.900000E+1	-1.037012E+4	2.759178E+4
1.925000E+1	-1.034199E+4	2.871457E+4
1.950000E+1	-1.010981E+4	2.960967E+4
1.975000E+1	-1.002831E+4	3.032459E+4
2.000000E+1	-1.005303E+4	3.118882E+4
2.025000E+1	-9.868482E+3	3.212187E+4
2.050000E+1	-9.606198E+3	3.278567E+4
2.075000E+1	-9.660726E+3	3.334797E+4
2.100000E+1	-9.858221E+3	3.427470E+4
2.125000E+1	-9.666630E+3	3.541646E+4
2.150000E+1	-9.191117E+3	3.619692E+4
2.175000E+1	-9.025071E+3	3.667906E+4
2.200000E+1	-9.125733E+3	3.746333E+4
2.225000E+1	-8.865650E+3	3.851321E+4
2.250000E+1	-8.251825E+3	3.914955E+4
2.275000E+1	-7.999697E+3	3.930366E+4
2.300000E+1	-8.267845E+3	3.966672E+4
2.325000E+1	-8.440550E+3	4.043999E+4
2.350000E+1	-8.341660E+3	4.107389E+4
2.375000E+1	-8.505935E+3	4.144360E+4
2.400000E+1	-9.024808E+3	4.210264E+4
2.425000E+1	-9.324364E+3	4.312012E+4
2.450000E+1	-9.371028E+3	4.388547E+4
2.475000E+1	-9.865940E+3	4.438721E+4
2.500000E+1	-1.087949E+4	4.545285E+4
2.525000E+1	-1.150878E+4	4.731403E+4
2.550000E+1	-1.132675E+4	4.911446E+4
2.575000E+1	-1.103707E+4	5.029029E+4
