freq (Hz)	magnitude
0.000000E+0	9.980886E-1
2.500000E-1	9.976830E-1
5.000000E-1	9.954915E-1
7.500000E-1	9.874489E-1
1.000000E+0	9.840934E-1
1.250000E+0	9.852971E-1
1.500000E+0	9.783389E-1
1.750000E+0	9.253500E-1
2.000000E+0	7.051029E-1
2.250000E+0	7.601651E-1
2.500000E+0	6.477529E-1
2.750000E+0	1.649482E-1
3.000000E+0	5.752710E-1
3.250000E+0	6.184797E-1
3.500000E+0	5.463844E-1
3.750000E+0	8.330676E-1
4.000000E+0	9.062862E-1
4.250000E+0	9.037064E-1
4.500000E+0	9.017021E-1
4.750000E+0	9.262933E-1
5.000000E+0	9.339243E-1
5.250000E+0	9.296630E-1
5.500000E+0	9.257452E-1
5.750000E+0	9.237977E-1
6.000000E+0	9.189910E-1
6.250000E+0	9.231155E-1
6.500000E+0	9.459579E-1
6.750000E+0	9.615200E-1
7.000000E+0	9.484158E-1
7.250000E+0	9.316015E-1
7.500000E+0	9.378065E-1
7.750000E+0	9.572732E-1
8.000000E+0	9.534857E-1
8.250000E+0	9.401804E-1
8.500000E+0	9.442184E-1
8.750000E+0	9.625612E-1
9.000000E+0	9.633667E-1
9.250000E+0	9.455069E-1
9.500000E+0	9.337109E-1
9.750000E+0	9.458721E-1
1.000000E+1	9.575358E-1
1.025000E+1	9.546409E-1
1.050000E+1	9.485470E-1
1.075000E+1	9.510228E-1
1.100000E+1	9.572122E-1
1.125000E+1	9.580093E-1
1.150000E+1	9.559520E-1
1.175000E+1	9.552771E-1
1.200000E+1	9.546395E-1
1.225000E+1	9.528010E-1
1.250000E+1	9.523142E-1
1.275000E+1	9.538283E-1
1.300000E+1	9.540284E-1
1.325000E+1	9.529376E-1
1.350000E+1	9.536122E-1
1.375000E+1	9.553630E-1
1.400000E+1	9.545998E-1
1.425000E+1	9.526493E-1
1.450000E+1	9.535963E-1
1.475000E+1	9.563510E-1
1.500000E+1	9.559407E-1
1.525000E+1	9.534761E-1
1.550000E+1	9.537359E-1
1.575000E+1	9.567540E-1
1.600000E+1	9.574966E-1
1.625000E+1	9.554165E-1
1.650000E+1	9.540927E-1
1.675000E+1	9.538817E-1
1.700000E+1	9.521437E-1
1.725000E+1	9.497850E-1
1.750000E+1	9.501667E-1
1.775000E+1	9.530620E-1
1.800000E+1	9.543120E-1
1.825000E+1	9.535067E-1
1.850000E+1	9.544674E-1
1.875000E+1	9.578208E-1
1.900000E+1	9.593395E-1
1.925000E+1	9.572598E-1
1.950000E+1	9.539334E-1
1.975000E+1	9.502826E-1
2.000000E+1	9.457473E-1
2.025000E+1	9.421824E-1
2.050000E+1	9.428478E-1
2.075000E+1	9.489891E-1
2.100000E+1	9.561504E-1
2.125000E+1	9.575298E-1
2.150000E+1	9.540750E-1
2.175000E+1	9.513010E-1
2.200000E+1	9.526910E-1
2.225000E+1	9.550225E-1
2.250000E+1	9.512404E-1
2.275000E+1	9.406140E-1
2.300000E+1	9.350023E-1
2.325000E+1	9.460563E-1
2.350000E+1	9.633866E-1
2.375000E+1	9.716394E-1
2.400000E+1	9.653365E-1
2.425000E+1	9.524389E-1
2.450000E+1	9.508868E-1
2.475000E+1	9.609124E-1
2.500000E+1	9.659794E-1
2.525000E+1	9.629329E-1
2.550000E+1	9.622528E-1
2.575000E+1	9.678574E-1
2.600000E+1	9.713074E-1
2.625000E+1	9.675178E-1
2.650000E+1	9.627673E-1
2.675000E+1	9.628367E-1
2.700000E+1	9.658156E-1
2.725000E+1	9.685412E-1
2.750000E+1	9.712191E-1
2.775000E+1	9.734058E-1
2.800000E+1	9.731384E-1
2.825000E+1	9.718510E-1
2.850000E+1	9.730497E-1
2.875000E+1	9.763449E-1
2.900000E+1	9.772915E-1
2.925000E+1	9.758222E-1
2.950000E+1	9.762448E-1
2.975000E+1	9.794395E-1
3.000000E+1	9.810791E-1
3.025000E+1	9.796266E-1
3.050000E+1	9.790360E-1
3.075000E+1	9.816941E-1
3.100000E+1	9.846696E-1
3.125000E+1	9.851678E-1
3.150000E+1	9.850371E-1
3.175000E+1	9.865935E-1
3.200000E+1	9.888426E-1
3.225000E+1	9.897705E-1
3.250000E+1	9.897963E-1
3.275000E+1	9.901594E-1
3.300000E+1	9.909457E-1
3.325000E+1	9.917095E-1
3.350000E+1	9.924834E-1
3.375000E+1	9.933292E-1
3.400000E+1	9.941231E-1
3.425000E+1	9.949035E-1
3.450000E+1	9.955391E-1
3.475000E+1	9.956913E-1
