freq (Hz)	magnitude
0.000000E+0	4.825818E+3
2.500000E-1	4.417110E+3
5.000000E-1	3.420345E+3
7.500000E-1	2.422296E+3
1.000000E+0	1.905493E+3
1.250000E+0	1.602237E+3
1.500000E+0	1.155977E+3
1.750000E+0	7.238448E+2
2.000000E+0	6.021288E+2
2.250000E+0	7.108280E+2
2.500000E+0	7.660384E+2
2.750000E+0	9.886649E+2
3.000000E+0	1.235857E+3
3.250000E+0	1.321435E+3
3.500000E+0	1.393237E+3
3.750000E+0	1.645845E+3
4.000000E+0	1.892866E+3
4.250000E+0	1.969336E+3
4.500000E+0	2.049904E+3
4.750000E+0	2.298146E+3
5.000000E+0	2.537620E+3
5.250000E+0	2.634299E+3
5.500000E+0	2.711384E+3
5.750000E+0	2.918660E+3
6.000000E+0	3.148358E+3
6.250000E+0	3.273703E+3
6.500000E+0	3.383615E+3
6.750000E+0	3.585276E+3
7.000000E+0	3.814347E+3
7.250000E+0	3.991211E+3
7.500000E+0	4.165905E+3
7.750000E+0	4.376451E+3
8.000000E+0	4.529201E+3
8.250000E+0	4.582615E+3
8.500000E+0	4.631257E+3
8.750000E+0	4.731779E+3
9.000000E+0	4.824554E+3
9.250000E+0	4.920765E+3
9.500000E+0	5.152333E+3
9.750000E+0	5.517841E+3
1.000000E+1	5.827885E+3
1.025000E+1	5.990268E+3
1.050000E+1	6.126662E+3
1.075000E+1	6.343383E+3
1.100000E+1	6.562143E+3
1.125000E+1	6.709193E+3
1.150000E+1	6.870079E+3
1.175000E+1	7.118004E+3
1.200000E+1	7.372126E+3
1.225000E+1	7.563807E+3
1.250000E+1	7.767502E+3
1.275000E+1	8.043541E+3
1.300000E+1	8.316122E+3
1.325000E+1	8.534653E+3
1.350000E+1	8.786218E+3
1.375000E+1	9.123966E+3
1.400000E+1	9.451602E+3
1.425000E+1	9.700256E+3
1.450000E+1	9.962389E+3
1.475000E+1	1.032277E+4
1.500000E+1	1.070153E+4
1.525000E+1	1.100882E+4
1.550000E+1	1.129606E+4
1.575000E+1	1.164381E+4
1.600000E+1	1.201757E+4
1.625000E+1	1.235956E+4
1.650000E+1	1.271666E+4
1.675000E+1	1.314500E+4
1.700000E+1	1.359591E+4
1.725000E+1	1.400715E+4
1.750000E+1	1.441436E+4
1.775000E+1	1.486220E+4
1.800000E+1	1.532373E+4
1.825000E+1	1.578027E+4
1.850000E+1	1.628353E+4
1.875000E+1	1.684930E+4
1.900000E+1	1.740361E+4
1.925000E+1	1.790559E+4
1.950000E+1	1.842660E+4
1.975000E+1	1.901140E+4
2.000000E+1	1.958089E+4
2.025000E+1	2.005564E+4
2.050000E+1	2.047363E+4
2.075000E+1	2.092805E+4
2.100000E+1	2.143167E+4
2.125000E+1	2.196263E+4
2.150000E+1	2.247210E+4
2.175000E+1	2.288393E+4
2.200000E+1	2.314865E+4
2.225000E+1	2.336781E+4
2.250000E+1	2.374605E+4
2.275000E+1	2.423466E+4
2.300000E+1	2.461329E+4
2.325000E+1	2.480944E+4
2.350000E+1	2.504546E+4
2.375000E+1	2.552317E+4
2.400000E+1	2.603343E+4
2.425000E+1	2.630267E+4
2.450000E+1	2.648533E+4
2.475000E+1	2.696039E+4
2.500000E+1	2.782651E+4
2.525000E+1	2.879526E+4
2.550000E+1	2.961780E+4
2.575000E+1	3.035419E+4
2.600000E+1	3.126552E+4
2.625000E+1	3.248919E+4
2.650000E+1	3.378900E+4
2.675000E+1	3.478809E+4
2.700000E+1	3.546386E+4
2.725000E+1	3.629963E+4
2.750000E+1	3.773528E+4
2.775000E+1	3.951757E+4
2.800000E+1	4.104882E+4
2.825000E+1	4.217244E+4
2.850000E+1	4.327537E+4
2.875000E+1	4.467122E+4
2.900000E+1	4.619950E+4
2.925000E+1	4.759961E+4
2.950000E+1	4.892730E+4
2.975000E+1	5.036196E+4
3.000000E+1	5.188486E+4
3.025000E+1	5.335806E+4
3.050000E+1	5.476453E+4
3.075000E+1	5.619428E+4
3.100000E+1	5.767692E+4
3.125000E+1	5.918753E+4
3.150000E+1	6.069857E+4
3.175000E+1	6.217982E+4
3.200000E+1	6.361966E+4
3.225000E+1	6.504963E+4
3.250000E+1	6.650131E+4
3.275000E+1	6.791978E+4
3.300000E+1	6.925500E+4
3.325000E+1	7.058857E+4
3.350000E+1	7.200582E+4
3.375000E+1	7.342999E+4
3.400000E+1	7.473906E+4
3.425000E+1	7.595966E+4
3.450000E+1	7.715389E+4
3.475000E+1	7.819394E+4
3.500000E+1	7.892104E+4
3.525000E+1	7.941712E+4
3.550000E+1	7.998948E+4
3.575000E+1	8.083202E+4
3.600000E+1	8.193265E+4
3.625000E+1	8.315830E+4
3.650000E+1	8.424223E+4
3.675000E+1	8.496080E+4
3.700000E+1	8.551960E+4
3.725000E+1	8.649189E+4
3.750000E+1	8.799222E+4
3.775000E+1	8.930634E+4
3.800000E+1	8.995854E+4
3.825000E+1	9.054347E+4
3.850000E+1	9.193337E+4
3.875000E+1	9.364481E+4
3.900000E+1	9.450550E+4
3.925000E+1	9.407717E+4
3.950000E+1	9.397266E+4
3.975000E+1	9.582667E+4
4.000000E+1	9.791107E+4
4.025000E+1	9.922814E+4
4.050000E+1	9.985087E+4
4.075000E+1	1.007215E+5
4.100000E+1	1.022029E+5
4.125000E+1	1.037399E+5
4.150000E+1	1.050978E+5
4.175000E+1	1.065270E+5
4.200000E+1	1.081709E+5
4.225000E+1	1.097065E+5
4.250000E+1	1.110565E+5
4.275000E+1	1.126550E+5
4.300000E+1	1.146809E+5
4.325000E+1	1.165198E+5
4.350000E+1	1.175776E+5
4.375000E+1	1.181556E+5
4.400000E+1	1.190731E+5
4.425000E+1	1.203152E+5
4.450000E+1	1.207586E+5
4.475000E+1	1.195912E+5
4.500000E+1	1.174255E+5
4.525000E+1	1.157897E+5
4.550000E+1	1.153605E+5
4.575000E+1	1.154489E+5
4.600000E+1	1.155147E+5
4.625000E+1	1.160282E+5
4.650000E+1	1.176196E+5
4.675000E+1	1.198736E+5
4.700000E+1	1.219484E+5
4.725000E+1	1.236225E+5
4.750000E+1	1.254248E+5
4.775000E+1	1.278591E+5
4.800000E+1	1.303591E+5
4.825000E+1	1.322815E+5
4.850000E+1	1.337569E+5
4.875000E+1	1.351366E+5
4.900000E+1	1.363592E+5
4.925000E+1	1.370801E+5
4.950000E+1	1.372672E+5
4.975000E+1	1.371523E+5
5.000000E+1	1.368388E+5
5.025000E+1	1.364270E+5
5.050000E+1	1.363184E+5
5.075000E+1	1.368741E+5
5.100000E+1	1.378328E+5
5.125000E+1	1.386406E+5
5.150000E+1	1.392856E+5
5.175000E+1	1.403468E+5
5.200000E+1	1.420447E+5
5.225000E+1	1.437954E+5
5.250000E+1	1.449492E+5
5.275000E+1	1.454975E+5
5.300000E+1	1.457858E+5
5.325000E+1	1.458743E+5
5.350000E+1	1.455986E+5
5.375000E+1	1.449265E+5
5.400000E+1	1.440199E+5
5.425000E+1	1.430438E+5
5.450000E+1	1.421147E+5
5.475000E+1	1.413420E+5
5.500000E+1	1.405971E+5
5.525000E+1	1.394821E+5
5.550000E+1	1.377983E+5
5.575000E+1	1.358551E+5
5.600000E+1	1.340619E+5
5.625000E+1	1.323673E+5
5.650000E+1	1.304446E+5
5.675000E+1	1.283199E+5
5.700000E+1	1.263710E+5
5.725000E+1	1.247544E+5
5.750000E+1	1.231755E+5
5.775000E+1	1.213775E+5
5.800000E+1	1.194932E+5
5.825000E+1	1.178473E+5
5.850000E+1	1.166065E+5
5.875000E+1	1.156842E+5
5.900000E+1	1.147674E+5
5.925000E+1	1.135069E+5
5.950000E+1	1.118163E+5
5.975000E+1	1.099933E+5
6.000000E+1	1.084974E+5
6.025000E+1	1.073291E+5
6.050000E+1	1.060809E+5
6.075000E+1	1.046127E+5
6.100000E+1	1.032410E+5
6.125000E+1	1.021578E+5
6.150000E+1	1.010922E+5
6.175000E+1	9.980365E+4
6.200000E+1	9.852954E+4
6.225000E+1	9.761625E+4
6.250000E+1	9.694136E+4
6.275000E+1	9.609229E+4
6.300000E+1	9.491983E+4
6.325000E+1	9.364023E+4
6.350000E+1	9.250126E+4
6.375000E+1	9.156601E+4
6.400000E+1	9.077909E+4
6.425000E+1	9.001267E+4
6.450000E+1	8.914489E+4
6.475000E+1	8.820918E+4
6.500000E+1	8.741299E+4
6.525000E+1	8.684255E+4
6.550000E+1	8.628800E+4
6.575000E+1	8.552800E+4
6.600000E+1	8.464243E+4
